"","Extraction_ID","round_original","round_H2O"
"22",30,23.1,166.9
"14",19,23.8,166.2
"48",84,31.9,158.1
"23",32,32.5,157.5
"29",49,37.1,152.9
"51",90,37.7,152.3
"36",58,41.5,148.5
"17",23,30.1,159.9
"26",42,48.2,141.8
"30",50,48.2,141.8
"19",26,48.7,141.3
"52",91,49.2,140.8
"46",77,51.6,138.4
"42",69,52.2,137.8
"31",53,53.3,136.7
"37",59,37.9,152.1
"21",28,55.8,134.2
"54",94,55.8,134.2
"53",92,57.9,132.1
"25",41,40.3,149.7
"49",87,41.7,148.3
"10",15,43.6,146.4
"43",70,44.6,145.4
"28",48,65.3,118
"41",66,75.4,107.6
"8",12,45.2,137.5
"24",33,65.3,112.8
"39",62,65.3,112.8
